         2227 function calls in 0.007 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\json\encoder.py:205(iterencode)
        4    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\async_timeout\__init__.py:222(_do_exit)
        4    0.000    0.000    0.000    0.000 {method 'add_done_callback' of '_asyncio.Future' objects}
       14    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:440(_format)
      158    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\async_timeout\__init__.py:161(_reject)
        3    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       28    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:922(acquire)
        7    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:780(_call_soon)
        9    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\base64.py:112(urlsafe_b64encode)
       14    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:652(usesTime)
       11    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py:31(__init__)
        6    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\websockets\legacy\protocol.py:326(_drain)
        4    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py:147(cancel)
        3    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        3    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\jwt\algorithms.py:255(prepare_key)
        4    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py:103(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\tokenize.py:323(read_or_stop)
        4    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\async_timeout\__init__.py:100(__init__)
        6    0.000    0.000    0.000    0.000 {method 'compress' of 'zlib.Compress' objects}
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
       14    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1734(isEnabledFor)
        6    0.000    0.000    0.000    0.000 {method 'utctimetuple' of 'datetime.datetime' objects}
       28    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:929(release)
        6    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\calendar.py:653(timegm)
       14    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:432(usesTime)
       70    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\hmac.py:151(digest)
        6    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\locks.py:14(__aenter__)
        4    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\tasks.py:35(current_task)
        6    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\enum.py:686(__call__)
       42    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\windows_events.py:54(__init__)
        6    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\websockets\legacy\framing.py:24(new_frame)
       98    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       14    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:164(<lambda>)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        6    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\websockets\legacy\protocol.py:912(ensure_open)
